path	type	size	mtime_ns	sha256_or_link
A1/locagent_top5.jsonl	file	0	1787756349719371367	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
data/instance_ids.txt	file	468	1787756285517564485	d883d75dbe47cd915e3fb48be0e9d63701e4f6c201b48c1a72afcbf027da2d00
data/intentq20.jsonl	file	87303	1787738954485520270	f582a424bd8e2b6f6f91319986a483d6112265b338432b55b0bca72067886110
data/issue_map.json	file	34546	1787738954485520270	75296d398d52ef64d4d93cb6e6557adf60e6285157a23729628bc9a6c586f5d5
diagnostics/auth_canary_A1.md	file	194	1787756345719009539	28cb437b04daec7ebb7615669ee1640888ecaf78e924360a1f667eda6ec5c509
diagnostics/auth_canary_redacted.md	file	267	1787756160566263640	0bd158bcff65073b6e0e9d20f1c9a69bbd94364921fc7a8aab178bc7663c2a54
diagnostics/config_check_redacted.md	file	505	1787756285845594154	00b5ba06ea61cad700e1cf4415ebb3fefd4912b630c2e0c839716458c4c6289c
diagnostics/dataset_manifest.md	file	468	1787756285517564485	cd260e470ffb88603a0f3b640dfd5753f30a1f50b47c401e540e795edf71c71a
diagnostics/git_status_before.txt	file	293	1787756285809590897	319171c82a4bb7352b3b9acb39d21ee0b0a79bd40bf4369a7deea40d58138ed6
diagnostics/original_manifest_before.tsv	file	37166	1787756285797589812	bdf2d3f275fc289cf6b787eb97214194914b3e053a6ff322d8b4e5eda77e8251
diagnostics/preflight_redacted.md	file	955	1787755899978699428	5ed358d27e82d98697a0aea365e8cf5f75e26a358db5e8154720e5f67de82203
diagnostics/preflight_summary.md	file	465	1787756285809590897	a6c1c3fd9e0530a19c73bc1f96cc29b9c305f9be9ce472be11c8068e163157f5
diagnostics/source_manifest_before.tsv	file	37327	1787756285645576063	3a55e0bba1617f2b907ce0461000e5f378950ef431f6396fbf23d14add7d7c69
logs/A1/eval.log	file	2274	1787756349979394886	4c948b6cfebec3a66b9695f68a24343b568b9d69dfbda2a1b00d1b53b2bd883b
